CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2000-02-14,https://www.sec.gov/Archives/edgar/data/1067983/000095015000000102/0000950150-00-000102.txt,https://www.sec.gov/Archives/edgar/data/1067983/0000950150-00-000102-index.html,2000-02-14,1999-12-31,6331,,DE,NE,1231,1067983_13FHR_1999_0000950150-00-000102.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2000-02-15,https://www.sec.gov/Archives/edgar/data/1067983/000095015000000118/0000950150-00-000118.txt,https://www.sec.gov/Archives/edgar/data/1067983/0000950150-00-000118-index.html,2000-02-15,1998-12-31,6331,,DE,NE,1231,1067983_13FHR_1998_0000950150-00-000118.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2000-05-15,https://www.sec.gov/Archives/edgar/data/1067983/000095015000000439/0000950150-00-000439.txt,https://www.sec.gov/Archives/edgar/data/1067983/0000950150-00-000439-index.html,2000-05-15,2000-03-31,6331,,DE,NE,1231,1067983_13FHR_2000_0000950150-00-000439.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2000-08-14,https://www.sec.gov/Archives/edgar/data/1067983/000109581100002809/0001095811-00-002809.txt,https://www.sec.gov/Archives/edgar/data/1067983/0001095811-00-002809-index.html,2000-08-14,2000-06-30,6331,,DE,NE,1231,1067983_13FHR_2000_0001095811-00-002809.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2000-11-14,https://www.sec.gov/Archives/edgar/data/1067983/000095015000000940/0000950150-00-000940.txt,https://www.sec.gov/Archives/edgar/data/1067983/0000950150-00-000940-index.html,2000-11-14,2000-09-30,6331,,DE,NE,1231,1067983_13FHR_2000_0000950150-00-000940.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2001-02-14,https://www.sec.gov/Archives/edgar/data/1067983/000109581101001369/0001095811-01-001369.txt,https://www.sec.gov/Archives/edgar/data/1067983/0001095811-01-001369-index.html,2001-02-14,2000-12-31,6331,,DE,NE,1231,1067983_13FHR_2000_0001095811-01-001369.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2001-05-15,https://www.sec.gov/Archives/edgar/data/1067983/000095015001500322/0000950150-01-500322.txt,https://www.sec.gov/Archives/edgar/data/1067983/0000950150-01-500322-index.html,2001-05-15,2001-03-31,6331,,DE,NE,1231,1067983_13FHR_2001_0000950150-01-500322.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2001-08-14,https://www.sec.gov/Archives/edgar/data/1067983/000095015001500532/0000950150-01-500532.txt,https://www.sec.gov/Archives/edgar/data/1067983/0000950150-01-500532-index.html,2001-08-14,2001-06-30,6331,,DE,NE,1231,1067983_13FHR_2001_0000950150-01-500532.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2001-11-14,https://www.sec.gov/Archives/edgar/data/1067983/000095015001500764/0000950150-01-500764.txt,https://www.sec.gov/Archives/edgar/data/1067983/0000950150-01-500764-index.html,2001-11-14,2001-09-30,6331,,DE,NE,1231,1067983_13FHR_2001_0000950150-01-500764.txt
1067983,BERKSHIRE HATHAWAY INC,13F-HR,2002-02-14,https://www.sec.gov/Archives/edgar/data/1067983/000095015002000133/0000950150-02-000133.txt,https://www.sec.gov/Archives/edgar/data/1067983/0000950150-02-000133-index.html,2002-02-14,2001-12-31,6331,,DE,NE,1231,1067983_13FHR_2001_0000950150-02-000133.txt
