,ACE LTD,APPLE INC,BANK AMER CORP,BANK NEW YORK MELLON CORP,CITIGROUP INC,CNX COAL RES LP,COMMUNITY HEALTH SYS INC NEW,FIRST SOLAR INC,HCA HOLDINGS INC,INTERNATIONAL BUSINESS MACHS,MENS WEARHOUSE INC,NEXPOINT RESIDENTIAL TR INC,PNC FINL SVCS GROUP INC,THERAVANCE BIOPHARMA INC,AMGEN INC,GENTHERM INC,TAILORED BRANDS INC,ALPHABET INC,NEOPHOTONICS CORP,COTY INC,GORES HLDGS INC,ALEXANDER &amp; BALDWIN INC NEW,ALTABA INC,BIOGEN INC,CELGENE CORP,CLEVELAND CLIFFS INC,COREPOINT LODGING INC,DISNEY WALT CO,FACEBOOK INC,FIVE POINT HOLDINGS LLC,GAMESTOP CORP NEW,MCKESSON CORP,MOHAWK INDS INC,SPORTSMANS WHSE HLDGS INC,WESTERN DIGITAL CORP,GREENSKY INC,JD COM INC,PETIQ INC,ALIBABA GROUP HLDG LTD,CARDINAL HEALTH INC,FEDEX CORP,BED BATH &amp; BEYOND INC,CANADIAN NAT RES LTD,NUVECTRA CORP,BLACKBERRY LTD,CENOVUS ENERGY INC,COVETRUS INC,MAXAR TECHNOLOGIES INC,QORVO INC,BOEING CO,CRACKER BARREL OLD CTRY STOR,DISCOVERY INC,FOOT LOCKER INC,JACK IN THE BOX INC,LAS VEGAS SANDS CORP,MICHAELS COS INC,WYNN RESORTS LTD,BK OF AMERICA CORP,BOOKING HOLDINGS INC,COPA HOLDINGS SA,DESIGNER BRANDS INC,GOLDMAN SACHS GROUP INC,HELMERICH &amp; PAYNE INC,JPMORGAN CHASE &amp; CO,KIMBALL INTL INC,NATIONAL OILWELL VARCO INC,PRECISION DRILLING CORP,RETAIL OPPORTUNITY INVTS COR,TRIP COM GROUP LTD,UNITI GROUP INC,VIACOMCBS INC,WESTERN DIGITAL CORP.,ALLSTATE CORP,ALTRIA GROUP INC,CVS HEALTH CORP,LIBERTY LATIN AMERICA LTD,LUMEN TECHNOLOGIES INC,MSG NETWORK INC,PFIZER INC,QURATE RETAIL INC,RPT REALTY,URSTADT BIDDLE PPTYS INC,ARES CAPITAL CORP,CORECIVIC INC,GEO GROUP INC NEW,HOLLYFRONTIER CORP,INGLES MKTS INC,KRAFT HEINZ CO,MOLSON COORS BEVERAGE CO,NOW INC,SUNCOKE ENERGY INC,WELLS FARGO CO NEW,AERPIO PHARMACEUTICALS INC,DIREXION SHS ETF TR,GENCO SHIPPING &amp; TRADING LTD,GOLDEN OCEAN GROUP LTD,ISHARES TR,MARINUS PHARMACEUTICALS INC,MEREDITH CORP,NETAPP INC,OCCIDENTAL PETE CORP,PROSHARES TR,SCORPIO TANKERS INC,TESLA INC,VECTOR ACQUISITION CORP,ZYMEWORKS INC,ARK ETF TR,OVINTIV INC,VY GLOBAL GROWTH,WALMART INC,LOCKHEED MARTIN CORP,SCYNEXIS INC
2016-02-16,5843.0,7895.0,5049.0,4122.0,5175.0,2376.0,5306.0,6599.0,5072.0,6881.0,5872.0,8781.0,3812.0,7156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-16,,8174.0,,,,,,6847.0,7805.0,,,7984.0,,5170.0,5997.0,1955.0,7160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-15,,,,,,,,,7701.0,,,11100.0,,7374.0,6086.0,,,10382.0,2859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-14,,,,,,,,,7563.0,,,,,,,,,11659.0,,12925.0,3240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-14,,,,,,,,,,,,,,,,,8702.0,8360.0,,,,9197.0,3374.0,3009.0,2884.0,8012.0,11086.0,8772.0,8521.0,9186.0,6775.0,4419.0,2200.0,5334.0,3697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-15,,,,,,,,,,,,,,,,,6815.0,8827.0,,,,,7783.0,,,7493.0,7345.0,7772.0,7501.0,8929.0,6604.0,,,6001.0,7209.0,3520.0,9045.0,3337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,,,,,,10675.0,9728.0,,,,,,,,11737.0,,8378.0,,,,,,6037.0,11888.0,7374.0,,,8473.0,9420.0,9851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-14,,,,,,,,,,,,,,,,,12650.0,9752.0,,,,,,,,,,,,,16560.0,,,8418.0,,,,,,,,7980.0,3995.0,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,,,,,,,,,,,,,,,,,13662.0,10696.0,,,,,,,,,,,,,14288.0,,,5543.0,,,,,,,,,,,5778.0,6090.0,7338.0,10186.0,8717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,,,,,,,,,,,,,,,,,6960.0,,,,,,,,,,,,10008.0,,10500.0,,,,,,,,,,,,,,,,,9612.0,11127.0,8948.0,558.0,6804.0,2205.0,10515.0,2909.0,5265.0,463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
