,AMERICAN EXPRESS CO,BANK OF NEW YORK MELLON CORP,CHICAGO BRIDGE &amp; IRON CO N V,COCA COLA CO,CONOCOPHILLIPS,COSTCO WHSL CORP NEW,DAVITA HEALTHCARE PARTNERS I,DEERE &amp; CO,DIRECTV,EXXON MOBIL CORP,GENERAL ELECTRIC CO,GENERAL MTRS CO,GOLDMAN SACHS GROUP INC,GRAHAM HLDGS CO,INTERNATIONAL BUSINESS MACHS,JOHNSON &amp; JOHNSON,KRAFT FOODS GROUP INC,LEE ENTERPRISES INC,LIBERTY MEDIA CORP DELAWARE,M &amp; T BK CORP,MASTERCARD INC,MEDIA GEN INC,MONDELEZ INTL INC,MOODYS CORP,NATIONAL OILWELL VARCO INC,PHILLIPS 66,PRECISION CASTPARTS CORP,PROCTER &amp; GAMBLE CO,SANOFI,STARZ,SUNCOR ENERGY INC NEW,TORCHMARK CORP,US BANCORP DEL,U S G CORP,UNITED PARCEL SERVICE INC,VERISIGN INC,VERISK ANALYTICS INC,VIACOM INC NEW,VISA INC,WABCO HLDGS INC,WAL MART STORES INC,WELLS FARGO &amp; CO NEW,LIBERTY GLOBAL PLC,VERIZON COMMUNICATIONS INC,CHARTER COMMUNICATIONS INC D,NOW INC,EXPRESS SCRIPTS HLDG CO,MEDIA GEN INC NEW,RESTAURANT BRANDS INTL INC,TWENTY FIRST CENTY FOX INC,AXALTA COATING SYS LTD,AT&amp;T INC,KRAFT HEINZ CO,KINDER MORGAN INC DEL,APPLE INC,CHARTER COMMUNICATIONS INC N,AMERICAN AIRLS GROUP INC,DELTA AIR LINES INC DEL,UNITED CONTL HLDGS INC,MOSANTO CO NEW,SIRIUS XM HLDGS INC,SOUTHWEST AIRLS CO,STORE CAP CORP,SYNCHRONY FINL,BANK AMER CORP,TEVA PHARMACEUTICAL INDS LTD,LIBERTY LATIN AMERICA LTD,JPMORGAN CHASE &amp; CO,ORACLE CORP,PNC FINL SVCS GROUP INC,TRAVELERS COMPANIES INC,RED HAT INC,STONECO LTD,AMAZON COM INC,GLOBE LIFE INC,OCCIDENTAL PETE CORP,RH,BIOGEN INC,KROGER CO,SPDR S&amp;P 500 ETF TR,VANGUARD INDEX FDS,BARRICK GOLD CORPORATION,ABBVIE INC,BRISTOL-MYERS SQUIBB CO,MERCK &amp; CO. INC,PFIZER INC,SNOWFLAKE INC,T-MOBILE US INC,CHEVRON CORP NEW,MARSH &amp; MCLENNAN COS INC,DAVITA INC,AON PLC,ORGANON &amp; CO,FLOOR &amp; DECOR HLDGS INC,ROYALTY PHARMA PLC
2014-02-14,13755639,861370,794050.0,16524000,782799.0,515757.0,2310552.0,363381.0,2521705.0,4162320.0,296712.0,1634800,2239065.0,1146062.0,12777641.0,29959,10387.0,308.0,775347,626576.0,338361,105005.0,20403,1935837,706226.0,2095153.0,532496.0,4297885,209472.0,132804.0,455650.0,331029.0,3204565,990184.0,6242,655280,102749.0,664412.0,346370,380770.0,3893875.0,21040998,262397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-15,13649511,869997,832348.0,15464001,779475.0,483950.0,2590216.0,361272.0,2637614.0,4017544.0,274059.0,1032600,2069676.0,1215915.0,13157670.0,32131,10809.0,397.0,692869,652842.0,302535,85351.0,19970,1956807,691486.0,750664.0,499792.0,4255122,204199.0,61963.0,454480.0,333359.0,3429944,1141607.0,5784,629974,93744.0,646535.0,335761,430297.0,4436946.0,23052408,604729.0,524352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,14383308,923989,729816.0,16944000,116184.0,499030.0,2720762.0,360277.0,1995014.0,4140932.0,278186.0,1196451,2115024.0,77251.0,12720437.0,34221,11550.0,395.0,546720,667642.0,297554,95387.0,21739,2162553,601342.0,522457.0,473659.0,4149008,207676.0,,701619.0,346998.0,3469692,1175131.0,6098,633798,93837.0,659772.0,379225,435433.0,4413910.0,24359359,747149.0,733996.0,365701.0,66104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-14,13272002,905413,619059.0,17064001,36117.0,543057.0,2751611.0,,2595600.0,3868243.0,271200.0,1277600,2318769.0,75259.0,13378840.0,34866,10866.0,300.0,564640,663552.0,348562,60912.0,19805,2331294,485698.0,504317.0,493237.0,4420893,220410.0,,667970.0,332745.0,3350353,1072166.0,5838,715733,95197.0,593069.0,457954,370742.0,4617663.0,24039574,743795.0,749897.0,749296.0,55515.0,31747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,14105859,893050,449233.0,16887999,,614254.0,2920956.0,1512562.0,2718346.0,,267496.0,1431311,2448370.0,92914.0,12349358.0,34205,12072.0,327.0,421320,676093.0,465243,,20996,2363611,344582.0,470897.0,687396.0,4808922,178147.0,,710420.0,344181.0,3600249,1091666.0,6603,740145,100138.0,649723.0,657936,427117.0,5185887.0,25406775,897966.0,701743.0,1032751.0,46972.0,,77731.0,329428.0,182324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,11843828,832180,527137.0,16220000,,656483.0,3134610.0,1517922.0,2668181.0,,262628.0,1537501,2374349.0,112914.0,12770201.0,32906,16784.0,282.0,459800,683519.0,451799,,20860,2560723,98925.0,589457.0,882166.0,4325865,193107.0,,653863.0,348947.0,3658385,1041354.0,5758,869605,111629.0,564505.0,646588,474709.0,4966691.0,25583903,898296.0,729495.0,1154631.0,39506.0,,76616.0,324112.0,210759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,11783184,867957,466719.0,15692001,,585264.0,3064805.0,1679944.0,2909288.0,,281257.0,1366530,2637337.0,115649.0,12942062.0,31879,16404.0,296.0,431360,672379.0,488878,,23779,2663349,,,839612.0,4130531,193458.0,,615191.0,369915.0,3691742,1083866.0,5756,801434,113755.0,365004.0,663788,467315.0,4283129.0,26449243,931211.0,699193.0,1458139.0,36348.0,,76756.0,322425.0,202693.0,661600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-16,11238901,787393,78653.0,16047999,,626474.0,2789448.0,1261857.0,,,266966.0,1501000,1904326.0,62071.0,11747419.0,30535,,185.0,808827,656340.0,471306,,24201,2422572,,4724655.0,964963.0,3797934,185412.0,,801600.0,358350.0,3488441,1038234.0,5862,916222,115553.0,,688600,373110.0,3643055.0,24149513,844819.0,652691.0,1808020.0,27018.0,,48564.0,303101.0,241522.0,587875.0,1932670.0,22983305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-16,10544524,829026,,17184000,,699838.0,2688406.0,1745375.0,,,329739.0,1700501,1975234.0,52171.0,11151823.0,33600,,149.0,892059,652195.0,509169,,25918,2475366,,5029632.0,974626.0,4192298,166586.0,,774000.0,363180.0,3629646,947359.0,5716,1134370,120197.0,,766594,340650.0,3444158.0,26076724,868103.0,693343.0,1882561.0,28880.0,,56062.0,315252.0,243133.0,621585.0,1602719.0,23693189.0,395880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-16,9308898,767066,,18556000,,682851.0,2829941.0,1792404.0,,,336514.0,1571500,1720425.0,51636.0,12302631.0,35392,,160.0,1148100,597406.0,466334,,23189,2382113,,6541939.0,,25961,156859.0,,834299.0,344118.0,3452714,967640.0,6265,1149692,124950.0,,783091,346110.0,3783104.0,23198499,907730.0,811250.0,2090455.0,32349.0,,56617.0,327656.0,249578.0,681061.0,,25581871.0,473889.0,1069382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
