,ACE LTD,APPLE INC,BANK AMER CORP,BANK NEW YORK MELLON CORP,CITIGROUP INC,CNX COAL RES LP,COMMUNITY HEALTH SYS INC NEW,FIRST SOLAR INC,HCA HOLDINGS INC,INTERNATIONAL BUSINESS MACHS,MENS WEARHOUSE INC,NEXPOINT RESIDENTIAL TR INC,PNC FINL SVCS GROUP INC,THERAVANCE BIOPHARMA INC,AMGEN INC,GENTHERM INC,TAILORED BRANDS INC,ALPHABET INC,NEOPHOTONICS CORP,COTY INC,GORES HLDGS INC,ALEXANDER &amp; BALDWIN INC NEW,ALTABA INC,BIOGEN INC,CELGENE CORP,CLEVELAND CLIFFS INC,COREPOINT LODGING INC,DISNEY WALT CO,FACEBOOK INC,FIVE POINT HOLDINGS LLC,GAMESTOP CORP NEW,MCKESSON CORP,MOHAWK INDS INC,SPORTSMANS WHSE HLDGS INC,WESTERN DIGITAL CORP,GREENSKY INC,JD COM INC,PETIQ INC,ALIBABA GROUP HLDG LTD,CARDINAL HEALTH INC,FEDEX CORP,BED BATH &amp; BEYOND INC,CANADIAN NAT RES LTD,NUVECTRA CORP,BLACKBERRY LTD,CENOVUS ENERGY INC,COVETRUS INC,MAXAR TECHNOLOGIES INC,QORVO INC,BOEING CO,CRACKER BARREL OLD CTRY STOR,DISCOVERY INC,FOOT LOCKER INC,JACK IN THE BOX INC,LAS VEGAS SANDS CORP,MICHAELS COS INC,WYNN RESORTS LTD,BK OF AMERICA CORP,BOOKING HOLDINGS INC,COPA HOLDINGS SA,DESIGNER BRANDS INC,GOLDMAN SACHS GROUP INC,HELMERICH &amp; PAYNE INC,JPMORGAN CHASE &amp; CO,KIMBALL INTL INC,NATIONAL OILWELL VARCO INC,PRECISION DRILLING CORP,RETAIL OPPORTUNITY INVTS COR,TRIP COM GROUP LTD,UNITI GROUP INC,VIACOMCBS INC,WESTERN DIGITAL CORP.,ALLSTATE CORP,ALTRIA GROUP INC,CVS HEALTH CORP,LIBERTY LATIN AMERICA LTD,LUMEN TECHNOLOGIES INC,MSG NETWORK INC,PFIZER INC,QURATE RETAIL INC,RPT REALTY,URSTADT BIDDLE PPTYS INC,ARES CAPITAL CORP,CORECIVIC INC,GEO GROUP INC NEW,HOLLYFRONTIER CORP,INGLES MKTS INC,KRAFT HEINZ CO,MOLSON COORS BEVERAGE CO,NOW INC,SUNCOKE ENERGY INC,WELLS FARGO CO NEW,AERPIO PHARMACEUTICALS INC,DIREXION SHS ETF TR,GENCO SHIPPING &amp; TRADING LTD,GOLDEN OCEAN GROUP LTD,ISHARES TR,MARINUS PHARMACEUTICALS INC,MEREDITH CORP,NETAPP INC,OCCIDENTAL PETE CORP,PROSHARES TR,SCORPIO TANKERS INC,TESLA INC,VECTOR ACQUISITION CORP,ZYMEWORKS INC,ARK ETF TR,OVINTIV INC,VY GLOBAL GROWTH,WALMART INC,LOCKHEED MARTIN CORP,SCYNEXIS INC
2016-02-16,7.309323359061285,9.876280664006305,6.316066000325248,5.1564317792316645,6.473686185716609,2.972266353094234,6.637561140369532,8.25504447140945,6.344837938928433,8.607813457761543,7.345601020778343,10.984625777155081,4.768636085014824,8.95182576714745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-16,0.0,15.998590777421123,0.0,0.0,0.0,0.0,0.0,13.401315274406953,15.276364205746496,0.0,0.0,15.626712596884051,0.0,10.119001017771863,11.737649729899005,3.826430752368277,14.013935645502231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.924530789855392,0.0,0.0,24.394532108478746,0.0,16.20588106017318,13.375236253351503,0.0,0.0,22.816579491011385,6.2832402971297965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.372255348009155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.947127476191824,0.0,36.52471246502953,9.15590471076949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.405455528939031,8.075110115137933,0.0,0.0,0.0,8.883587048914302,3.2590217139324626,2.90646008809211,2.785719805270072,7.738969167761378,10.70821420292095,8.473070087319373,8.230623599412718,8.872961904025964,6.544123328954486,4.2684104783247045,2.1250289776678772,5.1522293485820265,3.57101460474461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.941261547549933,8.990537884111998,0.0,0.0,0.0,0.0,7.9271956895937095,0.0,0.0,7.6318228577830745,7.481080860859025,7.91599189252503,7.639971073833022,9.094427638748842,6.726352349232539,0.0,0.0,6.112180564467667,7.342561188009899,3.5852150619773684,9.212576771473096,3.398824619834795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.409668558480563,10.397494682613482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.544756896570153,0.0,8.95458577826231,0.0,0.0,0.0,0.0,0.0,6.452474855976314,12.706148929575356,7.88148908198929,0.0,0.0,9.056123812272206,10.068297688139289,10.528959716121033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.218423965916333,16.357475930088228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.776845919017745,0.0,0.0,14.119896675500687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.385219229091886,6.700996343386226,0.441141936998893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.600646431261996,12.996670635981433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.36129675083234,0.0,0.0,6.735279107633235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0208267515613985,7.399936814989429,8.916377068701548,12.376971493839461,10.591994945199154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.104897873628806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.654284183804178,0.0,12.227216619698627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.193143442718402,12.957356126417775,10.419917553625078,0.6497892260754128,7.923236369564711,2.567715490136712,12.244684072012484,3.387521252066982,6.131075762163169,0.5391620280876633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
