,AMERICAN EXPRESS CO,BANK OF NEW YORK MELLON CORP,CHICAGO BRIDGE &amp; IRON CO N V,COCA COLA CO,CONOCOPHILLIPS,COSTCO WHSL CORP NEW,DAVITA HEALTHCARE PARTNERS I,DEERE &amp; CO,DIRECTV,EXXON MOBIL CORP,GENERAL ELECTRIC CO,GENERAL MTRS CO,GOLDMAN SACHS GROUP INC,GRAHAM HLDGS CO,INTERNATIONAL BUSINESS MACHS,JOHNSON &amp; JOHNSON,KRAFT FOODS GROUP INC,LEE ENTERPRISES INC,LIBERTY MEDIA CORP DELAWARE,M &amp; T BK CORP,MASTERCARD INC,MEDIA GEN INC,MONDELEZ INTL INC,MOODYS CORP,NATIONAL OILWELL VARCO INC,PHILLIPS 66,PRECISION CASTPARTS CORP,PROCTER &amp; GAMBLE CO,SANOFI,STARZ,SUNCOR ENERGY INC NEW,TORCHMARK CORP,US BANCORP DEL,U S G CORP,UNITED PARCEL SERVICE INC,VERISIGN INC,VERISK ANALYTICS INC,VIACOM INC NEW,VISA INC,WABCO HLDGS INC,WAL MART STORES INC,WELLS FARGO &amp; CO NEW,LIBERTY GLOBAL PLC,VERIZON COMMUNICATIONS INC,CHARTER COMMUNICATIONS INC D,NOW INC,EXPRESS SCRIPTS HLDG CO,MEDIA GEN INC NEW,RESTAURANT BRANDS INTL INC,TWENTY FIRST CENTY FOX INC,AXALTA COATING SYS LTD,AT&amp;T INC,KRAFT HEINZ CO,KINDER MORGAN INC DEL,APPLE INC,CHARTER COMMUNICATIONS INC N,AMERICAN AIRLS GROUP INC,DELTA AIR LINES INC DEL,UNITED CONTL HLDGS INC,MOSANTO CO NEW,SIRIUS XM HLDGS INC,SOUTHWEST AIRLS CO,STORE CAP CORP,SYNCHRONY FINL,BANK AMER CORP,TEVA PHARMACEUTICAL INDS LTD,LIBERTY LATIN AMERICA LTD,JPMORGAN CHASE &amp; CO,ORACLE CORP,PNC FINL SVCS GROUP INC,TRAVELERS COMPANIES INC,RED HAT INC,STONECO LTD,AMAZON COM INC,GLOBE LIFE INC,OCCIDENTAL PETE CORP,RH,BIOGEN INC,KROGER CO,SPDR S&amp;P 500 ETF TR,VANGUARD INDEX FDS,BARRICK GOLD CORPORATION,ABBVIE INC,BRISTOL-MYERS SQUIBB CO,MERCK &amp; CO. INC,PFIZER INC,SNOWFLAKE INC,T-MOBILE US INC,CHEVRON CORP NEW,MARSH &amp; MCLENNAN COS INC,DAVITA INC,AON PLC,ORGANON &amp; CO,FLOOR &amp; DECOR HLDGS INC,ROYALTY PHARMA PLC
2014-02-14,13.121028265388212,0.8216310501429591,0.7574168305908224,15.761672071888105,0.7466848908376869,0.49196276342173767,2.203955635986759,0.3466165673659387,2.4053671793779103,3.970293082683448,0.2830233141971716,1.55937917593335,2.1357666592618094,1.093188902084981,12.188149799946284,0.02857685388536043,0.009907800036958469,0.0002937905469705602,0.7395766857856588,0.5976691745409926,0.32275085475164195,0.10016063761247944,0.019461716005975127,1.8465279580384686,0.6736445546260741,1.9984939800552275,0.5079295165572578,4.099603847294046,0.19980809563317267,0.12667714220739698,0.4346287750881031,0.315757113549083,3.056723714781536,0.9445022693555103,0.005954027903215054,0.6250489273339892,0.09800871724246131,0.6337596262785838,0.3303903628382887,0.3632033330194162,3.7142326820941234,20.07028023125475,0.25029142257608467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-15,12.904568338306182,0.8225156007875567,0.7869213517797432,14.620029808257243,0.736933975546905,0.4575376984071647,2.44885105283069,0.3415550353940556,2.493662235451008,3.7982804732090383,0.2591018164846971,0.9762442966737024,1.9567203088925444,1.1495546039027744,12.439570303132552,0.030377402185185677,0.010219082512827861,0.00037533312587590534,0.6550546286965054,0.6172121626274,0.28602369581074816,0.08069284036935616,0.018880107112699822,1.850011304901392,0.6537471080086305,0.709695379351412,0.4725150973495478,4.02289229532326,0.19305453141242818,0.05858127576485824,0.4296760681311875,0.315165429493365,3.242749629973064,1.07930207514311,0.005468329471199588,0.5955922182381551,0.08862777972823896,0.6112493766704746,0.3174363367184379,0.4068128918514469,4.194792976127442,21.79428804434944,0.5717250022111092,0.49573469828534683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-14,13.36982375207317,0.8588823988789183,0.6783913193990585,15.750082919390158,0.1079973816044869,0.4638670844702119,2.5290502304016647,0.3348909716683857,1.8544402694372186,3.8491514614941056,0.25858431108436436,1.1121460374756416,1.9659940614081828,0.071807699221306,11.824122847077348,0.0318097018168349,0.010736157797388828,0.0003671673012959816,0.5081967264925039,0.6205982566375994,0.2765875928349988,0.08866579080688555,0.020207215095881883,2.0101740478975416,0.5589699222681725,0.4856433588182143,0.44028378927735023,3.856658406115033,0.1930426239593526,0.0,0.6521811513113552,0.3225476435825393,3.2252087290335623,1.092328298580375,0.005668319502032647,0.589138990447571,0.08722500772585069,0.6132827967358288,0.35250384768093324,0.4047512898866156,4.1028947414261925,22.64293697551894,0.6945029923949149,0.6822767860304944,0.3399327829145361,0.06144614502498624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-14,12.313360466327449,0.8400146895622028,0.5743441431763049,15.83146199878301,0.033508255948299925,0.5038317952907472,2.552861136255988,0.0,2.408118867552878,3.58883840059306,0.2516111253199031,1.185318487126505,2.1512834714118965,0.06982301504590924,12.412481518712877,0.03234761613349462,0.01008114486624656,0.00027833089084060075,0.523855847347456,0.6156233975968743,0.32338523991060497,0.056512304076275575,0.018374477643660327,2.1629037861044917,0.4506158567316604,0.4678899995868642,0.4576103120184846,4.101570290003254,0.2044897055005894,0.0,0.6197222838493204,0.30871070757585234,3.1083557837349307,0.9947230596966785,0.005416319135758091,0.6640353449800523,0.08832088605117558,0.5502314103331475,0.42487581594672164,0.3439631704400867,4.284127521305604,22.30318682282848,0.6900704165092821,0.6957316668289799,0.6951740772776627,0.05150513135005317,0.029453902638388506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-17,12.897932299790153,0.816575469833322,0.4107638408147727,15.441829368982333,0.0,0.5616536013067548,2.670825841848117,1.3830368129466764,2.48556593933098,0.0,0.2445895211673863,1.3087435779660734,2.2387087879467114,0.08495749756910954,11.291845709635401,0.031275924019538416,0.011038238700887815,0.0002989980165001918,0.38524111410354994,0.6181971436381167,0.425402856851984,0.0,0.01919805001357195,2.1612079534496482,0.315074417497459,0.4305726879996662,0.6285322340983666,4.397119692673197,0.1628917420350449,0.0,0.6495846204344535,0.3147077563212615,3.2919489599596305,0.9981833904608514,0.0060375654524488275,0.676764180191237,0.09156288494280186,0.5940852852432849,0.6015949816026612,0.390541699735512,4.741804057474405,23.2311172191641,0.8210704981180773,0.6416506577764346,0.9443134573045554,0.04294964780136701,0.0,0.0710746630598667,0.30121809963188134,0.16671105308985007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-15,11.05520712157588,0.7767693234343673,0.4920376010565287,15.13999186006085,0.0,0.6127711021127205,2.925892101385039,1.4168512160423727,2.4905202602446987,0.0,0.24514092368828982,1.4351265490034166,2.2162530538189658,0.10539562520881078,11.91989760735764,0.030714955126212227,0.015666437939535222,0.0002632230397371862,0.4291842328764475,0.6380069109862474,0.4217159791851808,0.0,0.019471037620275546,2.3902173474642785,0.09233808229078419,0.5502080260083778,0.8234270073503352,4.0378274283429185,0.1802489770727972,0.0,0.6103255547222545,0.3257123760538011,3.4147915610954813,0.9720154798669424,0.005374603768818149,0.8117023811016163,0.10419618688944096,0.5269174540668096,0.6035349603460558,0.4431005176262408,4.635984051260018,23.880399702132326,0.8384829918572886,0.680921600613754,1.0777499347332873,0.03687549435410382,0.0,0.07151452628547608,0.30253101367127266,0.1967256192623036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-14,10.993578471470485,0.8097941430229816,0.4354435906819612,14.640460877797828,0.0,0.546044745675422,2.8594286796552697,1.567368903997087,2.7143330634663285,0.0,0.26240962545865143,1.2749571583214319,2.4606058315997235,0.10789921948491088,12.074798643527613,0.029742749336003547,0.015304747956579635,0.00027616467905069325,0.40245404038955085,0.6273220632953584,0.45611768907075945,0.0,0.02218554021333255,2.484874735760084,0.0,0.0,0.7833485760375359,3.853739080824118,0.18049414351280071,0.0,0.57396630091174,0.34512654476701754,3.4443538667836635,1.011234817648509,0.005370283420999292,0.7477289303726801,0.10613213873449868,0.34054463686560554,0.6193067566814242,0.43599965199518487,3.9961113027625568,24.676846973745928,0.8688094153495781,0.6523392244577411,1.3604273275212797,0.033912276196400665,0.0,0.0716124868419426,0.3008189075774317,0.18911029490142622,0.6172653772295225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-16,8.821219732624662,0.618011197796878,0.06173338439675975,12.595797885215006,0.0,0.49170864756049565,2.18938966903707,0.9904098157062293,0.0,0.0,0.20953701319549622,1.1781090356316528,1.4946726631500884,0.04871845832824271,9.220346748335079,0.023966395338449378,0.0,0.00014520331218644618,0.6348343750585228,0.5151499563267681,0.36991995812619033,0.0,0.01899494788229289,1.9014350184332074,0.0,3.708300296963535,0.7573828310128091,2.9809329527865858,0.14552668388709927,0.0,0.6291620272900286,0.2812627401189892,2.7380172300918844,0.814891976349096,0.004600982789388907,0.7191268599896763,0.09069555855719146,0.0,0.54047027444101,0.2928476097831618,2.8593710944723987,18.95453662318725,0.6630838756650881,0.5122859191042366,1.4190837432396675,0.021205962641369747,0.0,0.03811704677309499,0.23789875203796773,0.18956645603186412,0.46141295757625445,1.516919380342589,18.039200059412487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,7.99702789877552,0.6287381062255892,0.0,13.032444841754693,0.0,0.5307611809336545,2.038902636594644,1.323702479962616,0.0,0.0,0.2500759619224482,1.2896697792044165,1.4980288730539157,0.03956678770013874,8.457606967674076,0.025482434048123698,0.0,0.00011300246051102473,0.6765426974564042,0.4946284545838106,0.3861567101740802,0.0,0.01965636088271637,1.877331870237136,0.0,3.8145019561408477,0.7391619871007918,3.17946301473455,0.12633978447442662,0.0,0.5870060700371352,0.27543780945230845,2.752744488483214,0.7184825368272744,0.004335047411281995,0.8603127592610141,0.09115809896673584,0.0,0.5813893168656946,0.2583509273361112,2.612069318045167,19.776738080985844,0.6583743287047121,0.5258353354234592,1.4277451346449346,0.021902758788982513,0.0,0.04251774457160448,0.2390889374565206,0.1843934713518589,0.4714136538036598,1.215511345689725,17.96905137149494,0.3002376783027146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-16,7.240354777693667,0.5966151931094712,0.0,14.432645330831177,0.0,0.5311137258462707,2.2010958590309175,1.3941114044817375,0.0,0.0,0.2617367541959109,1.2222947907631598,1.338126958573789,0.04016189234225041,9.568846187706882,0.027527494263245154,0.0,0.00012444617659694915,0.8929790959434832,0.46465557860048123,0.3627092707322605,0.0,0.018036139931916585,1.852780344199302,0.0,5.088245600502931,0.0,0.02019216994145873,0.12200314259263029,0.0,0.6489082543041129,0.2676510587386809,2.6854816011422415,0.7526193645141992,0.00487284560237429,0.8942173354006229,0.09718468603617998,0.0,0.6090792554842595,0.26920041363731295,2.9424551779289043,18.043528145863423,0.706022049264679,0.6309810047767187,1.6259320756123457,0.025160683542091927,0.0,0.044036057377434185,0.2548471027440623,0.19411892414195858,0.5297214842455924,0.0,19.897287725914826,0.3685854636334477,0.8317531326349917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
