종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","59700","700","1.19","3.56396018E8"
"000660","SK하이닉스","94100","900","0.97","6.8505023E7"
"207940","삼성바이오로직스","845000","17000","2.05","6.014203E7"
"051910","LG화학","616000","2000","0.33","4.3484883E7"
"005380","현대차","192000","4000","2.13","4.1024292E7"
"006400","삼성SDI","587000","-4000","-0.68","4.0364779E7"
"035420","NAVER","244500","3000","1.24","4.0110001E7"
"035720","카카오","76100","1200","1.60","3.3875887E7"
"000270","기아","79100","2500","3.26","3.2064241E7"
"068270","셀트리온","197500","4000","2.07","2.7806394E7"
"028260","삼성물산","123500","500","0.41","2.3080555E7"
"005490","POSCO홀딩스","250500","5000","2.04","2.1840302E7"
"105560","KB금융","50300","-100","-0.20","2.0567523E7"
"012330","현대모비스","212000","3000","1.44","2.0049496E7"
"096770","SK이노베이션","205000","0","0.00","1.8955441E7"
"055550","신한지주","36450","350","0.97","1.8696449E7"
"034730","SK","234500","2000","0.86","1.7388018E7"
"066570","LG전자","99100","1000","1.02","1.6217498E7"
"034020","두산에너빌리티","22650","1050","4.86","1.4457677E7"
"323410","카카오뱅크","28300","0","0.00","1.3488387E7"
"015760","한국전력","20800","450","2.21","1.3352853E7"
"003550","LG","83000","1700","2.09","1.3055982E7"
"003670","포스코케미칼","166500","500","0.30","1.2897626E7"
"032830","삼성생명","62200","900","1.47","1.244E7"
"259960","크래프톤","244500","3500","1.45","1.1998115E7"
"010950","S-Oil","105500","2000","1.93","1.1877485E7"
"091990","셀트리온헬스케어","74400","2100","2.90","1.1773229E7"
"086790","하나금융지주","39200","350","0.90","1.1599416E7"
"017670","SK텔레콤","52300","1100","2.15","1.1444973E7"
"011200","HMM","23400","1350","6.12","1.1443524E7"
"247540","에코프로비엠","116400","1100","0.95","1.1384076E7"
"033780","KT&G","82400","200","0.24","1.1312902E7"
"010130","고려아연","586000","6000","1.03","1.105782E7"
"051900","LG생활건강","710000","37000","5.50","1.108892E7"
"009150","삼성전기","137000","2000","1.48","1.0233036E7"
"030200","KT","38550","-50","-0.13","1.006586E7"
"018260","삼성에스디에스","131000","2000","1.55","1.0136492E7"
"003490","대한항공","26200","300","1.16","9647381.0"
